Date,Site _ID,Longitude,Latitude,Oiling_Category,J_roe_Above_Bio,S_alter_Above_Bio,Total_Above_Bio
4/18/2012,RF1,29.4622,89.92562,Reference,131.2,76,420
4/18/2012,RF2,29.462,89.9285,Reference,395.2,327.2,722.4
4/18/2012,RF3,29.46623,89.93362,Reference,724.8,104.4,829.2
4/18/2012,RF4,29.46871,89.93065,Reference,938.4,49.6,1021.2
4/18/2012,RF5,29.46928,89.92709,Reference,847.2,63.2,910.4
4/18/2012,RF6,29.47232,89.92889,Reference,411.2,147.2,737.2
4/18/2012,RF7,29.47468,89.93363,Reference,0,234,269.6
4/18/2012,MD1,29.46003,89.91931,Moderate Oil,369.6,186.4,556
4/18/2012,MD2,29.45436,89.89768,Moderate Oil,212.8,203.6,416.4
4/18/2012,MD3,29.45917,89.94647,Moderate Oil,0,303.2,541.6
4/18/2012,MD4,29.47047,89.89391,Moderate Oil,428.4,340.4,768.8
4/18/2012,MD5,29.46523,89.9121,Moderate Oil,162,187.2,455.2
4/18/2012,MD6,29.46098,89.8849,Moderate Oil,126.4,424,710.4
4/18/2012,MD7,29.44812,89.92181,Moderate Oil,0,400.4,400.4
4/18/2012,HV1,29.44078,89.90465,Heavy Oil,0,264.8,264.8
4/18/2012,HV2,29.45859,89.90878,Heavy Oil,0,44.8,178
4/18/2012,HV3,29.4556,89.8899,Heavy Oil,0,0,0.2
4/18/2012,HV4,29.45677,89.88631,Heavy Oil,0,44,44
4/18/2012,HV5,29.44893,89.939,Heavy Oil,22,129.6,262
4/18/2012,HV6,29.44106,89.93345,Heavy Oil,0,0,44.8
4/18/2012,HV7,29.45091,89.89543,Heavy Oil,0,144.4,144.4
