Specimen Number,Institution,Collections Number,Species,Site/Location,Latitude,Longitude,Year,Month,Day
1,FMNH,117903,Siren intermedia,"North America, USA, Arkansas, Lawrence Co",,,1933,,1933
2,FMNH,117904,Siren intermedia,"North America, USA, Arkansas, Lawrence Co",,,1933,,1933
3,FMNH,266848,Siren intermedia,,,,,,
4,FMNH,270698,Siren intermedia,"North America, USA, Mississippi, Clay Co: 2.4 mi SE West Point",,,1965,4,26
5,FMNH,84097,Siren intermedia,"North America, USA, Texas, Dickens Co: Elton",33.70425,-100.83887,1936,3,23
6,FMNH,247632,Siren intermedia,"North America, USA, Georgia, Wilcox Co: Spring Lakes, ca 1.5 mi E Bowen's Mill State Fish Hatchery, Guy Fuller's Camp, sinkhole #3",31.84677,-83.1847553,1948,5,7
7,FMNH,208281,Siren intermedia,"North America, USA, Florida, Alachua Co: 6 mi S Gainesville, Payne's Prairie",,,1962,4,27
8,FMNH,208282,Siren intermedia,"North America, USA, Florida, Alachua Co: 6 mi S Gainesville, Payne's Prairie",,,1962,4,27
9,FMNH,193465,Siren intermedia,"North America, USA, Mississippi, Bolivar Co: 0.25 mi W Gunnison",33.94389,-90.9491,1961,3,10
10,FMNH,193457,Siren intermedia,"North America, USA, Mississippi: Jackson",32.3363252,-90.1826786,1963,6,15
11,FMNH,193467,Siren intermedia,"North America, USA, Mississippi, Noxubee Co: Noxubee National Wildlife Refuge, roadside ponds along W side Bluff Lake, s5 T16N R15E",33.2817824,-88.8040039,1961,2,24
12,FMNH,193456,Siren intermedia,"North America, USA, Mississippi, Oktibbeha Co: 18 mi S Starkville near Bluff Lake",33.2882029,-88.7899596,1964,5,7
13,FMNH,193463,Siren intermedia,"North America, USA, Mississippi, Bolivar Co: 0.25 mi W Gunnison",33.94389,-90.9491,1961,3,10
14,FMNH,193458,Siren intermedia,"North America, USA, Mississippi, Sunflower Co: 7 mi E Indianola off US 82",33.461643,-90.5012058,1965,3,17
15,FMNH,193459,Siren intermedia,"North America, USA, Mississippi, Oktibbeha Co: 7 mi out on Highway 25, pond 400 yards off highway",33.4262387,-88.8359345,1963,3,29
16,FMNH,193464,Siren intermedia,"North America, USA, Mississippi, Bolivar Co: 0.25 mi W Gunnison",33.94389,-90.9491,1961,3,10
17,FMNH,193460,Siren intermedia,"North America, USA, Mississippi, Oktibbeha Co: Bluff Lake Refuge, Noxubee River",33.2894585,-88.7661785,1958,7,20
