Stream,SVL,SG,Sex,Life_Stage,Year,Month,Day
PC1,22.0,19.8,M,L,2019,10,2
PC1,21.6,19.4,F,L,2019,10,2
PC1,21.3,19.1,F,L,2019,10,2
PC1,20.6,18.4,M,L,2019,10,2
PC1,19.5,17.3,F,L,2019,10,2
PC1,19.6,17.4,F,L,2019,10,2
PC1,19.6,17.4,NA,L,2019,10,2
PC1,12.2,10.0,NA,L,2019,10,2
PC1,22.5,20.3,F,M,2019,10,2
PC1,24.1,21.9,M,M,2019,10,2
PC2,24.5,22.3,M,M,2019,10,3
PC2,22.6,20.4,M,M,2019,10,3
Type,28.5,24.6,F,A,2020,3,20
Type,27.5,24.5,M,A,2020,3,20
Type,28.7,25.2,M,A,2020,3,20
SC,29.9,26.3,M,A,2020,3,20
Western,19.8,17.1,F,L,2020,3,21
Western,25.7,22.9,F,A,2020,3,21
Western,24.8,22.6,M,A,2020,3,21
Western,26.4,24.2,M,A,2020,3,21
PCR2TL,26.5,23.5,M,A,2020,4,22
PCR2TL,25.0,22.2,M,A,2020,4,22
Twenty,27.0,23.2,M,A,2020,5,16
PC1,19.7,17.4,NA,L,2020,6,7
PC1,16.3,14.1,NA,L,2020,6,7
PC1,17.5,15.2,NA,L,2020,6,7
PC1,20.2,18.0,NA,L,2020,6,14
PC1,21.1,18.8,NA,L,2020,6,14
PC1,19.9,17.7,NA,L,2020,6,14
Davidson,12.2,9.9,NA,L,2020,6,14
Davidson,22.2,20.0,NA,L,2020,8,3
Davidson,21.9,19.7,NA,L,2020,8,3
Davidson,18.5,16.3,NA,L,2020,8,3
Davidson,15.4,13.2,NA,L,2020,8,3
Davidson,18.8,16.5,NA,L,2020,8,3
Davidson,11.7,9.5,NA,L,2020,8,3
Davidson,16.4,14.1,NA,L,2020,8,3
Davidson,17.6,15.3,NA,L,2020,8,3
Davidson,19.7,17.4,NA,L,2020,8,3
Davidson,16.5,14.3,NA,L,2020,8,3
Davidson,16.6,14.4,NA,L,2020,8,3
Davidson,15.1,12.9,NA,L,2020,8,3
Davidson,17.3,15.0,NA,L,2020,8,3
Davidson,14.5,12.3,NA,L,2020,8,3
Davidson,10.2,8.0,NA,L,2020,8,3
Davidson,17.5,15.3,NA,L,2020,8,3
Davidson,16.4,14.1,NA,L,2020,8,3
Davidson,16.3,14.0,NA,L,2020,8,3
Davidson,15.7,13.5,NA,L,2020,8,3
Davidson,9.5,7.2,NA,L,2020,8,3
Davidson,17.1,14.9,NA,L,2020,8,3
Davidson,14.2,12.0,NA,L,2020,8,3
Davidson,16.0,13.8,NA,L,2020,8,3
Davidson,13.5,11.2,NA,L,2020,8,3
PC1,21.5,19.2,NA,L,2020,8,4
PC1,22.0,18.8,M,L,2020,8,4
PC1,22.3,20.1,F,A,2020,8,4
PC1,19.7,17.4,F,M,2020,8,4
