specimen,population,SVL,HdLngth,HdWdth,HdDpth,EyeNost,Gape,TrunkLgth,TrunkWdth,3rdtoehind,site,elevation,long.deg,long.mins,lat.deg,lat.mins
40779,BA,81.285,17.985,11.6,5.32,3.835,11,45.055,9.71,3.625,sweetwater spr.,5000,82,57,35,19
40780,BA,82.9,18.665,12.105,5.995,3.84,11.785,45.395,10.285,3.665,sweetwater spr.,5000,82,57,35,19
40789,BA,88.255,17.85,11.25,4.925,4.1,10.82,49.95,9.61,2.66,sweetwater spr.,5000,82,57,35,19
40790,BA,75.025,17.035,10.065,4.75,4.61,9.86,39.555,7.41,2.655,sweetwater spr.,5000,82,57,35,19
40963,BA,71.215,14.88,9.095,5.185,3.48,8.115,39.68,7.02,3.135,rough butt bald,5400,82,58,35,19
40964,BA,64.68,15.04,8.75,5.275,3.995,8.195,33.62,7.795,3.115,rough butt bald,5400,82,58,35,19
40965,BA,86.6,17.44,10.985,6.55,4.465,9.97,50.295,10.875,3.555,rough butt bald,5400,82,58,35,19
40966,BA,89.58,18.715,11.79,6.43,4.765,10.65,50.23,10.535,3.305,rough butt bald,5400,82,58,35,19
40967,BA,87.95,17.97,10.925,5.62,4.875,10.195,49.32,10.1,3.61,rough butt bald,5400,82,58,35,19
40968,BA,68.605,13.75,9.66,4.83,3.5,8.57,39.925,8.11,2.845,rough butt bald,5400,82,58,35,19
40969,BA,70.46,15.16,10.05,5.095,3.925,9.44,38.85,7.56,3.565,rough butt bald,5400,82,58,35,19
40970,BA,72.975,14.745,9.71,5.315,4.14,9.385,40.225,7.65,2.905,rough butt bald,5400,82,58,35,19
40971,BA,87.455,17.45,10.695,5.305,4.72,10.36,49.62,9.315,2.975,rough butt bald,5400,82,58,35,19
40972,BA,69.995,15.15,9.27,4.985,3.375,8.78,40.035,7.33,2.74,rough butt bald,5400,82,58,35,19
40973,BA,86.08,16.16,10.57,5.255,5.02,9.745,46.755,8.155,3.86,rough butt bald,5400,82,58,35,19
40974,BA,94.25,18.16,11.285,7.095,5.01,10.63,52.565,9.705,3.73,rough butt bald,5400,82,58,35,19
40975,BA,72.99,16.065,9.845,4.785,4.57,8.89,41.725,7.565,2.91,rough butt bald,5400,82,58,35,19
40976,BA,83.565,16.56,10.635,5.86,3.99,9.85,46.8,8.845,3.405,rough butt bald,5400,82,58,35,19
40977,BA,61.52,13.405,8.31,3.735,3.915,7.85,33.5,5.425,2.76,rough butt bald,5400,82,58,35,19
40978,BA,70.33,14.74,9.76,5.31,3.405,8.65,37.315,7.125,3.14,rough butt bald,5400,82,58,35,19
40979,BA,82.725,17.155,10.695,5.775,5.375,8.96,44.76,9.04,3.185,rough butt bald,5400,82,58,35,19
40980,BA,79.92,16.34,10.415,4.835,3.715,9.595,44.83,7.77,3.58,rough butt bald,5400,82,58,35,19
40981,BA,94.125,17.88,11.41,6.47,4.35,10.585,53.38,9.995,3.575,rough butt bald,5400,82,58,35,19
41095,BA,57.695,11.32,8.275,4.41,3.455,7.795,32.17,6.665,2.75,richland balsam,5800,83,0,35,22
41006,BR,67.88,14.755,10.145,4.935,3.815,8.525,36.09,6.805,2.51,flat mountain,3500,83,3,35,2
41045,BR,66.215,13.685,8.76,4.155,3.465,8.305,36.185,7.63,2.89,flat mountain,3500,83,3,35,2
41046,BR,69.055,13.825,9.995,4.91,3.235,8.63,39.61,8.16,2.41,flat mountain,3500,83,3,35,2
41048,BR,62.08,12.53,8.44,4.02,3.335,8.67,34.215,6.48,2.13,flat mountain,3500,83,3,35,2
41049,BR,82.68,17,10.505,6.995,4.92,10.25,46.585,10.015,3.625,flat mountain,3500,83,3,35,2
41050,BR,70.21,13.23,8.57,4.65,2.705,8.195,39.075,6.595,2.65,flat mountain,3500,83,3,35,2
41051,BR,73.205,13.82,9.23,4.35,3.685,9.1,41.18,6.74,3.075,flat mountain,3500,83,3,35,2
