"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WV20","WV20_ATTRIBUTES"
"USW00003145","1982-01-01","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0","T,,X","    0",",,X","    0",",,X","  200",",,X","  122",",,X",,,,," 0400",",,X",,,,,"  290",",,X",,,,,"   98",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-01-02","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    5",",,X","    0",",,X","    0",",,X","  172",",,X","   78",",,X",,,,," 2148",",,X",,,,,"  310",",,X",,,,,"  154",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-01-03","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  156",",,X","   22",",,X",,,,," 0748",",,X",,,,,"  280",",,X",,,,,"   72",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-01-04","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  194",",,X","   28",",,X",,,,," 1718",",,X",,,,,"   60",",,X",,,,,"   41",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-01-05","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  211",",,X","  100",",,X",,,,," 1742",",,X",,,,,"  160",",,X",,,,,"   93",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-01-06","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  189",",,X","   83",",,X",,,,," 0412",",,X",,,,,"   10",",,X",,,,,"  129",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-01-07","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  122",",,X","   50",",,X",,,,," 0842",",,X",,,,,"   10",",,X",,,,,"  154",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-01-08","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  161",",,X","   61",",,X",,,,," 1436",",,X",,,,,"  360",",,X",,,,,"  144",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-01-09","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  200",",,X","   94",",,X",,,,," 1906",",,X",,,,,"  360",",,X",,,,,"  118",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-01-10","32.65","-114.61667","64.9","YUMA MCAS, AZ US","   28",",,X","    0",",,X","    0",",,X","  189",",,X","   89",",,X",,,,," 2312",",,X",,,,,"  330",",,X",,,,,"   72",",,X",,,,,,,,,,,,,,,,,,,,,,,,
