ID_number,Country,State,Parish,Area_sampled,Latitude,Longitude,Trap_type,Date_set_out,Date_picked_up,Site_number,Order,Family,Genus,Specific_epithet,Sex,Collectors,Identified_by,Verified_by,Notes
10260001,USA,Louisiana,Tangipahoa,Sandy Hollow WMA N,"30°50'05""N","90°24'24""W",Blue vane trap,25-Jun-2019,28-Jun-2019,2,Hymenoptera,Apidae,Melissodes,bimaculata,F,E. H. Pigott; J. L. Bossart,E. H. Pigott,,
10260002,USA,Louisiana,Tangipahoa,Sandy Hollow WMA N,"30°50'05""N","90°24'24""W",Blue vane trap,25-Jun-2019,28-Jun-2019,2,Hymenoptera,Apidae,Melissodes,bimaculata,F,E. H. Pigott; J. L. Bossart,E. H. Pigott,,
10260003,USA,Louisiana,Tangipahoa,Sandy Hollow WMA N,"30°50'05""N","90°24'24""W",Blue vane trap,25-Jun-2019,28-Jun-2019,2,Hymenoptera,Apidae,Melissodes,communis,M,E. H. Pigott; J. L. Bossart,E. H. Pigott,,
10260004,USA,Louisiana,Tangipahoa,Sandy Hollow WMA N,"30°50'05""N","90°24'24""W",Blue vane trap,25-Jun-2019,28-Jun-2019,2,Hymenoptera,Apidae,Melissodes,bimaculata,F,E. H. Pigott; J. L. Bossart,E. H. Pigott,,
10260005,USA,Louisiana,Tangipahoa,Sandy Hollow WMA N,"30°50'05""N","90°24'24""W",Blue vane trap,25-Jun-2019,28-Jun-2019,2,Hymenoptera,Apidae,Melissodes,bimaculata,F,E. H. Pigott; J. L. Bossart,E. H. Pigott,,
10260006,USA,Louisiana,Tangipahoa,Sandy Hollow WMA N,"30°50'05""N","90°24'24""W",Blue vane trap,25-Jun-2019,28-Jun-2019,2,Hymenoptera,Halictidae,Halictus,ligatus/poeyi,F,E. H. Pigott; J. L. Bossart,E. H. Pigott,,
10260007,USA,Louisiana,Tangipahoa,Sandy Hollow WMA N,"30°50'05""N","90°24'24""W",Blue vane trap,25-Jun-2019,28-Jun-2019,2,Hymenoptera,Apidae,Melissodes,communis,F,E. H. Pigott; J. L. Bossart,E. H. Pigott,,
10260008,USA,Louisiana,Tangipahoa,Sandy Hollow WMA N,"30°50'05""N","90°24'24""W",Blue vane trap,25-Jun-2019,28-Jun-2019,2,Hymenoptera,Apidae,Bombus,griseocollis,M,E. H. Pigott; J. L. Bossart,E. H. Pigott,,
10260009,USA,Louisiana,Tangipahoa,Sandy Hollow WMA N,"30°50'05""N","90°24'24""W",Blue vane trap,25-Jun-2019,28-Jun-2019,2,Hymenoptera,Apidae,Melissodes,bimaculata,F,E. H. Pigott; J. L. Bossart,E. H. Pigott,,
10260010,USA,Louisiana,Tangipahoa,Sandy Hollow WMA N,"30°50'05""N","90°24'24""W",Blue vane trap,25-Jun-2019,28-Jun-2019,2,Hymenoptera,Apidae,Melissodes,trinodis,F,E. H. Pigott; J. L. Bossart,E. H. Pigott,,
10260011,USA,Louisiana,Tangipahoa,Sandy Hollow WMA N,"30°50'05""N","90°24'24""W",Blue vane trap,25-Jun-2019,28-Jun-2019,2,Hymenoptera,Apidae,Melissodes,bimaculata,F,E. H. Pigott; J. L. Bossart,E. H. Pigott,,
10260012,USA,Louisiana,Tangipahoa,Sandy Hollow WMA N,"30°50'05""N","90°24'24""W",Blue vane trap,25-Jun-2019,28-Jun-2019,2,Hymenoptera,Apidae,Melissodes,communis,M,E. H. Pigott; J. L. Bossart,E. H. Pigott,,
10260013,USA,Louisiana,Tangipahoa,Sandy Hollow WMA N,"30°50'05""N","90°24'24""W",Blue vane trap,25-Jun-2019,28-Jun-2019,2,Hymenoptera,Apidae,Melissodes,bimaculata,F,E. H. Pigott; J. L. Bossart,E. H. Pigott,,
10260014,USA,Louisiana,Tangipahoa,Sandy Hollow WMA N,"30°50'05""N","90°24'24""W",Blue vane trap,25-Jun-2019,28-Jun-2019,2,Hymenoptera,Apidae,Melissodes,bimaculata,F,E. H. Pigott; J. L. Bossart,E. H. Pigott,,
10260015,USA,Louisiana,Tangipahoa,Sandy Hollow WMA N,"30°50'05""N","90°24'24""W",Blue vane trap,25-Jun-2019,28-Jun-2019,2,Hymenoptera,Apidae,Melissodes,communis,F,E. H. Pigott; J. L. Bossart,E. H. Pigott,,
10260016,USA,Louisiana,Tangipahoa,Sandy Hollow WMA N,"30°50'05""N","90°24'24""W",Blue vane trap,25-Jun-2019,28-Jun-2019,2,Hymenoptera,Apidae,Melissodes,bimaculata,M,E. H. Pigott; J. L. Bossart,E. H. Pigott,,
10260017,USA,Louisiana,Tangipahoa,Sandy Hollow WMA N,"30°50'05""N","90°24'24""W",Blue vane trap,25-Jun-2019,28-Jun-2019,2,Hymenoptera,Apidae,Melissodes,bimaculata,F,E. H. Pigott; J. L. Bossart,E. H. Pigott,,
10260018,USA,Louisiana,Tangipahoa,Sandy Hollow WMA N,"30°50'05""N","90°24'24""W",Blue vane trap,25-Jun-2019,28-Jun-2019,2,Hymenoptera,Apidae,Melissodes,bimaculata,M,E. H. Pigott; J. L. Bossart,E. H. Pigott,,
10260019,USA,Louisiana,Tangipahoa,Sandy Hollow WMA N,"30°50'05""N","90°24'24""W",Blue vane trap,25-Jun-2019,28-Jun-2019,2,Hymenoptera,Apidae,Melissodes,bimaculata,F,E. H. Pigott; J. L. Bossart,E. H. Pigott,,
10260020,USA,Louisiana,Tangipahoa,Sandy Hollow WMA N,"30°50'05""N","90°24'24""W",Blue vane trap,25-Jun-2019,28-Jun-2019,2,Hymenoptera,Apidae,Melissodes,communis,M,E. H. Pigott; J. L. Bossart,E. H. Pigott,,
10260021,USA,Louisiana,Tangipahoa,Sandy Hollow WMA N,"30°50'05""N","90°24'24""W",Blue vane trap,25-Jun-2019,28-Jun-2019,2,Hymenoptera,Apidae,Melissodes,communis,M,E. H. Pigott; J. L. Bossart,E. H. Pigott,,
10260022,USA,Louisiana,Tangipahoa,Sandy Hollow WMA N,"30°50'05""N","90°24'24""W",Blue vane trap,25-Jun-2019,28-Jun-2019,2,Hymenoptera,Apidae,Melissodes,communis,F,E. H. Pigott; J. L. Bossart,E. H. Pigott,,
10260023,USA,Louisiana,Tangipahoa,Sandy Hollow WMA N,"30°50'05""N","90°24'24""W",Blue vane trap,25-Jun-2019,28-Jun-2019,2,Hymenoptera,Apidae,Melissodes,communis,F,E. H. Pigott; J. L. Bossart,E. H. Pigott,,
10260024,USA,Louisiana,Tangipahoa,Sandy Hollow WMA N,"30°50'05""N","90°24'24""W",Blue vane trap,25-Jun-2019,28-Jun-2019,2,Hymenoptera,Apidae,Melissodes,communis,M,E. H. Pigott; J. L. Bossart,E. H. Pigott,,
10260025,USA,Louisiana,Tangipahoa,Sandy Hollow WMA N,"30°50'05""N","90°24'24""W",Blue vane trap,25-Jun-2019,28-Jun-2019,2,Hymenoptera,Apidae,Melissodes,communis,F,E. H. Pigott; J. L. Bossart,E. H. Pigott,,
10260026,USA,Louisiana,Tangipahoa,Sandy Hollow WMA N,"30°50'05""N","90°24'24""W",Blue vane trap,25-Jun-2019,28-Jun-2019,2,Hymenoptera,Apidae,Melissodes,communis,F,E. H. Pigott; J. L. Bossart,E. H. Pigott,,
10260027,USA,Louisiana,Tangipahoa,Sandy Hollow WMA N,"30°50'05""N","90°24'24""W",Blue vane trap,25-Jun-2019,28-Jun-2019,2,Hymenoptera,Halictidae,Halictus,ligatus/poeyi,F,E. H. Pigott; J. L. Bossart,E. H. Pigott,,
10260028,USA,Louisiana,Tangipahoa,Sandy Hollow WMA N,"30°50'05""N","90°24'24""W",Blue vane trap,25-Jun-2019,28-Jun-2019,2,Hymenoptera,Apidae,Melissodes,bimaculata,F,E. H. Pigott; J. L. Bossart,E. H. Pigott,,
10260029,USA,Louisiana,Tangipahoa,Sandy Hollow WMA N,"30°50'05""N","90°24'24""W",Blue vane trap,25-Jun-2019,28-Jun-2019,2,Hymenoptera,Apidae,Melissodes,communis,F,E. H. Pigott; J. L. Bossart,E. H. Pigott,,
10260030,USA,Louisiana,Tangipahoa,Sandy Hollow WMA N,"30°50'05""N","90°24'24""W",Blue vane trap,25-Jun-2019,28-Jun-2019,2,Hymenoptera,Apidae,Melissodes,bimaculata,M,E. H. Pigott; J. L. Bossart,E. H. Pigott,,
10260031,USA,Louisiana,Tangipahoa,Sandy Hollow WMA N,"30°50'05""N","90°24'24""W",Blue vane trap,25-Jun-2019,28-Jun-2019,2,Hymenoptera,Apidae,Melissodes,bimaculata,F,E. H. Pigott; J. L. Bossart,E. H. Pigott,,
10260032,USA,Louisiana,Tangipahoa,Sandy Hollow WMA N,"30°50'05""N","90°24'24""W",Blue vane trap,25-Jun-2019,28-Jun-2019,2,Hymenoptera,Apidae,Melissodes,communis,F,E. H. Pigott; J. L. Bossart,E. H. Pigott,,
10260033,USA,Louisiana,Tangipahoa,Sandy Hollow WMA N,"30°50'05""N","90°24'24""W",Blue vane trap,25-Jun-2019,28-Jun-2019,2,Hymenoptera,Apidae,Melissodes,tepaneca,M,E. H. Pigott; J. L. Bossart,E. H. Pigott,,
10260034,USA,Louisiana,Tangipahoa,Sandy Hollow WMA N,"30°50'05""N","90°24'24""W",Blue vane trap,25-Jun-2019,28-Jun-2019,2,Hymenoptera,Apidae,Melissodes,bimaculata,F,E. H. Pigott; J. L. Bossart,E. H. Pigott,,
10260035,USA,Louisiana,Tangipahoa,Sandy Hollow WMA N,"30°50'05""N","90°24'24""W",Blue vane trap,25-Jun-2019,28-Jun-2019,2,Hymenoptera,Apidae,Melissodes,communis,F,E. H. Pigott; J. L. Bossart,E. H. Pigott,,
10260036,USA,Louisiana,Tangipahoa,Sandy Hollow WMA N,"30°50'05""N","90°24'24""W",Blue vane trap,25-Jun-2019,28-Jun-2019,2,Hymenoptera,Apidae,Melissodes,communis,M,E. H. Pigott; J. L. Bossart,E. H. Pigott,,
10260037,USA,Louisiana,Tangipahoa,Sandy Hollow WMA N,"30°50'05""N","90°24'24""W",Blue vane trap,25-Jun-2019,28-Jun-2019,2,Hymenoptera,Apidae,Melissodes,communis,F,E. H. Pigott; J. L. Bossart,E. H. Pigott,,
10260038,USA,Louisiana,Tangipahoa,Sandy Hollow WMA N,"30°50'05""N","90°24'24""W",Blue vane trap,25-Jun-2019,28-Jun-2019,2,Hymenoptera,Apidae,Melissodes,agilis,F,E. H. Pigott; J. L. Bossart,E. H. Pigott,,
10260039,USA,Louisiana,Tangipahoa,Sandy Hollow WMA N,"30°50'05""N","90°24'24""W",Blue vane trap,25-Jun-2019,28-Jun-2019,2,Hymenoptera,Apidae,Melissodes,trinodis,F,E. H. Pigott; J. L. Bossart,E. H. Pigott,,
10260040,USA,Louisiana,Tangipahoa,Sandy Hollow WMA N,"30°50'05""N","90°24'24""W",Blue vane trap,25-Jun-2019,28-Jun-2019,2,Hymenoptera,Apidae,Melissodes,communis,F,E. H. Pigott; J. L. Bossart,E. H. Pigott,,
10260041,USA,Louisiana,Tangipahoa,Sandy Hollow WMA N,"30°50'05""N","90°24'24""W",Blue vane trap,25-Jun-2019,28-Jun-2019,2,Hymenoptera,Apidae,Melissodes,communis,F,E. H. Pigott; J. L. Bossart,E. H. Pigott,,
10260042,USA,Louisiana,Tangipahoa,Sandy Hollow WMA N,"30°50'05""N","90°24'24""W",Blue vane trap,25-Jun-2019,28-Jun-2019,2,Hymenoptera,Apidae,Melissodes,bimaculata,F,E. H. Pigott; J. L. Bossart,E. H. Pigott,,
