"","Genus","Species","reference_no","subfamily","Tribe","Fossil","min_ma","max_ma","Notes"
"1","Agroecomyrmex","duisburgi","44414","Agroecomyrmecinae",NA,"Yes",33.9,38,"Note"
"2","Eulithomyrmex","rugosus","4971","Agroecomyrmecinae",NA,"Yes",33.9,37.2,"Note"
"3","Eulithomyrmex","striatus","4971","Agroecomyrmecinae",NA,"Yes",33.9,37.2,"Note"
"4","Ambyloponinae",NA,"59088","Ambyloponinae",NA,"Yes",20.44,23.03,"Note"
"5","Amblyoponini",NA,"53165","Ambyloponinae","Amblyoponini","Yes",20.44,23.03,"Note"
"6","Casaleia","eocenica","43781","Ambyloponinae",NA,"Yes",40.4,48.6,"Note"
"7","Casaleia","inversa","41286","Ambyloponinae",NA,"Yes",5.333,15.97,"Note"
"8","Casaleia","longiventris","37344","Ambyloponinae",NA,"Yes",11.608,12.7,"Note"
"9","Casaleia","orientalis","56094","Ambyloponinae",NA,"Yes",33.9,38,"Note"
"10","Myopopone","sinensis","16579","Ambyloponinae",NA,"Yes",11.608,15.97,"Note"
"11","Stigmatomma","electrina","44602","Ambyloponinae",NA,"Yes",33.9,38,"Note"
"12","Stigmatomma","groehni","44602","Ambyloponinae",NA,"Yes",33.9,38,"Note"
"13","Aneuretellus","deformis","44404","Aneuretinae",NA,"Yes",41.3,47.8,"Note"
"14","Britaneuretus","anglicus","37729","Aneuretinae",NA,"Yes",33.9,38,"Note"
"15","Burmomyrma","rossi","39313","Aneuretinae",NA,"Yes",93.5,99.6,"Note"
"16","Cananeuretus","occidentalis","36535","Aneuretinae",NA,"Yes",70.6,83.5,"Note"
"17","Mianeuretus",NA,"44418","Aneuretinae",NA,"Yes",46.2,50.3,"Note"
"18","Mianeuretus","eocenicus","44418","Aneuretinae",NA,"Yes",46.2,50.3,"Note"
"19","Mianeuretus","mirabilis","4971","Aneuretinae",NA,"Yes",33.9,37.2,"Note"
"20","Paraneuretus","dubovikoffi","56094","Aneuretinae",NA,"Yes",33.9,38,"Note"
"21","Paraneuretus","longicornis","40999","Aneuretinae",NA,"Yes",33.9,38,"Note"
"22","Paraneuretus","tornquisti","40999","Aneuretinae",NA,"Yes",33.9,38,"Note"
"23","Pityomyrmex","tornquisti","40999","Aneuretinae",NA,"Yes",33.9,38,"Note"
"24","Protaneuretus","succineus","40999","Aneuretinae",NA,"Yes",33.9,38,"Note"
"25","Archaeopone","kzylzharica","37059","Armaniinae",NA,"Yes",89.8,93.9,"Note"
"26","Archaeopone","taylori","35238","Armaniinae",NA,"Yes",70.6,83.5,"Note"
"27","Armania",NA,"39728","Armaniinae",NA,"Yes",89.8,93.9,"Note"
"28","Armania","capitata","39728","Armaniinae",NA,"Yes",89.8,93.9,"Note"
"29","Armania","curiosa","35238","Armaniinae",NA,"Yes",70.6,83.5,"Note"
"30","Armania","pristina","39728","Armaniinae",NA,"Yes",89.8,93.9,"Note"
"31","Armania","robusta","35238","Armaniinae",NA,"Yes",70.6,83.5,"Stem Ant?"
"32","Dolichomyrma","latipes","37059","Armaniinae",NA,"Yes",89.8,93.9,"Note"
"33","Dolichomyrma","longiceps","37059","Armaniinae",NA,"Yes",89.8,93.9,"Note"
"34","Khetania","mandibulata","39728","Armaniinae",NA,"Yes",89.8,93.9,"Note"
"35","Orapia","minor","38353","Armaniinae",NA,"Yes",89.8,93.9,"Note"
"36","Orapia","rayneri","38353","Armaniinae",NA,"Yes",89.8,93.9,"Note"
"37","Poneropterus","sphecoides","35238","Armaniinae",NA,"Yes",70.6,83.5,"Note"
"38","Pseudarmania","aberrans","35238","Armaniinae",NA,"Yes",70.6,83.5,"Stem Ant?"
"39","Pseudarmania","rasnitsyni","35238","Armaniinae",NA,"Yes",70.6,83.5,"Stem Ant?"
"40","Brownimecia","clavata","5815","Brownimeciinae",NA,"Yes",89.8,93.9,"Note"
