id,date,tmax,tmin
USW00003145,1982-01-01,200,122
USW00003145,1982-01-02,172,78
USW00003145,1982-01-03,156,22
USW00003145,1982-01-04,194,28
USW00003145,1982-01-05,211,100
USW00003145,1982-01-06,189,83
USW00003145,1982-01-07,122,50
USW00003145,1982-01-08,161,61
USW00003145,1982-01-09,200,94
USW00003145,1982-01-10,189,89
USW00003145,1982-01-11,206,83
USW00003145,1982-01-12,211,100
USW00003145,1982-01-13,194,67
USW00003145,1982-01-14,189,56
USW00003145,1982-01-15,217,56
USW00003145,1982-01-16,228,67
USW00003145,1982-01-17,239,61
USW00003145,1982-01-18,200,67
USW00003145,1982-01-19,189,100
USW00003145,1982-01-20,189,67
USW00003145,1982-01-21,133,72
USW00003145,1982-01-22,156,28
USW00003145,1982-01-23,167,33
USW00003145,1982-01-24,206,67
USW00003145,1982-01-25,233,83
USW00003145,1982-01-26,250,83
USW00003145,1982-01-27,228,72
USW00003145,1982-01-28,200,106
USW00003145,1982-01-29,189,72
USW00003145,1982-01-30,206,72
USW00003145,1982-01-31,222,61
USW00003145,1982-02-01,194,61
USW00003145,1982-02-02,194,78
USW00003145,1982-02-03,217,44
USW00003145,1982-02-04,200,67
USW00003145,1982-02-05,161,78
USW00003145,1982-02-06,144,72
USW00003145,1982-02-07,161,78
USW00003145,1982-02-08,178,89
USW00003145,1982-02-09,206,83
USW00003145,1982-02-10,211,94
USW00003145,1982-02-11,206,122
USW00003145,1982-02-12,194,89
USW00003145,1982-02-13,239,100
USW00003145,1982-02-14,272,117
USW00003145,1982-02-15,278,117
USW00003145,1982-02-16,278,128
USW00003145,1982-02-17,289,117
USW00003145,1982-02-18,256,161
USW00003145,1982-02-19,278,156
USW00003145,1982-02-20,306,133
USW00003145,1982-02-21,322,117
USW00003145,1982-02-22,328,128
USW00003145,1982-02-23,300,161
USW00003145,1982-02-24,183,139
USW00003145,1982-02-25,233,122
USW00003145,1982-02-26,261,111
USW00003145,1982-02-27,283,139
USW00003145,1982-02-28,294,128
USW00003145,1982-03-01,272,139
USW00003145,1982-03-02,250,144
USW00003145,1982-03-03,222,106
USW00003145,1982-03-04,244,83
USW00003145,1982-03-05,228,100
USW00003145,1982-03-06,250,100
USW00003145,1982-03-07,261,83
USW00003145,1982-03-08,272,133
USW00003145,1982-03-09,306,111
USW00003145,1982-03-10,311,161
USW00003145,1982-03-11,239,167
USW00003145,1982-03-12,206,128
USW00003145,1982-03-13,228,94
USW00003145,1982-03-14,217,122
USW00003145,1982-03-15,200,100
USW00003145,1982-03-16,194,106
USW00003145,1982-03-17,217,83
USW00003145,1982-03-18,178,100
USW00003145,1982-03-19,189,67
USW00003145,1982-03-20,217,89
USW00003145,1982-03-21,239,94
USW00003145,1982-03-22,250,117
USW00003145,1982-03-23,267,117
USW00003145,1982-03-24,294,111
USW00003145,1982-03-25,294,117
USW00003145,1982-03-26,244,150
USW00003145,1982-03-27,267,133
USW00003145,1982-03-28,250,133
USW00003145,1982-03-29,200,161
USW00003145,1982-03-30,228,94
USW00003145,1982-03-31,267,117
USW00003145,1982-04-01,261,122
USW00003145,1982-04-02,222,78
USW00003145,1982-04-03,261,117
USW00003145,1982-04-04,267,139
USW00003145,1982-04-05,294,111
USW00003145,1982-04-06,261,122
USW00003145,1982-04-07,239,117
USW00003145,1982-04-08,272,100
USW00003145,1982-04-09,289,178
USW00003145,1982-04-10,322,167
USW00003145,1982-04-11,333,200
USW00003145,1982-04-12,311,194
USW00003145,1982-04-13,311,167
USW00003145,1982-04-14,300,167
USW00003145,1982-04-15,267,150
USW00003145,1982-04-16,306,139
USW00003145,1982-04-17,306,139
USW00003145,1982-04-18,328,150
USW00003145,1982-04-19,344,167
USW00003145,1982-04-20,289,189
USW00003145,1982-04-21,239,100
USW00003145,1982-04-22,272,106
USW00003145,1982-04-23,306,128
USW00003145,1982-04-24,311,144
USW00003145,1982-04-25,322,156
USW00003145,1982-04-26,333,194
USW00003145,1982-04-27,339,172
USW00003145,1982-04-28,344,178
USW00003145,1982-04-29,333,189
USW00003145,1982-04-30,344,189
USW00003145,1982-05-01,339,200
USW00003145,1982-05-02,328,222
USW00003145,1982-05-03,311,200
USW00003145,1982-05-04,267,172
USW00003145,1982-05-05,300,156
USW00003145,1982-05-06,356,183
USW00003145,1982-05-07,372,183
USW00003145,1982-05-08,344,183
USW00003145,1982-05-09,261,150
USW00003145,1982-05-10,250,139
USW00003145,1982-05-11,244,128
USW00003145,1982-05-12,294,111
USW00003145,1982-05-13,333,144
USW00003145,1982-05-14,350,183
USW00003145,1982-05-15,333,178
USW00003145,1982-05-16,378,183
USW00003145,1982-05-17,378,211
USW00003145,1982-05-18,367,211
USW00003145,1982-05-19,350,167
USW00003145,1982-05-20,367,183
USW00003145,1982-05-21,361,183
USW00003145,1982-05-22,361,189
USW00003145,1982-05-23,378,189
USW00003145,1982-05-24,383,217
USW00003145,1982-05-25,378,222
USW00003145,1982-05-26,306,200
USW00003145,1982-05-27,300,178
USW00003145,1982-05-28,328,189
USW00003145,1982-05-29,356,200
USW00003145,1982-05-30,350,167
USW00003145,1982-05-31,378,194
USW00003145,1982-06-01,356,200
USW00003145,1982-06-02,356,178
USW00003145,1982-06-03,356,183
USW00003145,1982-06-04,372,200
USW00003145,1982-06-05,333,200
USW00003145,1982-06-06,356,178
USW00003145,1982-06-07,344,178
USW00003145,1982-06-08,350,200
USW00003145,1982-06-09,378,189
USW00003145,1982-06-10,383,194
USW00003145,1982-06-11,400,211
USW00003145,1982-06-12,372,217
USW00003145,1982-06-13,361,222
USW00003145,1982-06-14,361,183
USW00003145,1982-06-15,383,217
USW00003145,1982-06-16,383,217
USW00003145,1982-06-17,378,217
USW00003145,1982-06-18,367,222
USW00003145,1982-06-19,378,228
USW00003145,1982-06-20,378,217
USW00003145,1982-06-21,361,211
USW00003145,1982-06-22,361,189
USW00003145,1982-06-23,378,194
USW00003145,1982-06-24,394,217
USW00003145,1982-06-25,400,233
USW00003145,1982-06-26,417,228
USW00003145,1982-06-27,422,250
USW00003145,1982-06-28,406,244
USW00003145,1982-06-29,394,228
USW00003145,1982-06-30,328,217
USW00003145,1982-07-01,350,200
USW00003145,1982-07-02,394,217
USW00003145,1982-07-03,394,244
USW00003145,1982-07-04,394,261
USW00003145,1982-07-05,372,233
USW00003145,1982-07-06,350,256
USW00003145,1982-07-07,361,239
USW00003145,1982-07-08,389,244
USW00003145,1982-07-09,417,250
USW00003145,1982-07-10,422,244
USW00003145,1982-07-11,439,261
USW00003145,1982-07-12,439,261
USW00003145,1982-07-13,439,272
USW00003145,1982-07-14,450,283
USW00003145,1982-07-15,394,294
USW00003145,1982-07-16,417,289
USW00003145,1982-07-17,422,267
USW00003145,1982-07-18,411,283
USW00003145,1982-07-19,422,267
USW00003145,1982-07-20,411,267
USW00003145,1982-07-21,417,289
USW00003145,1982-07-22,411,289
USW00003145,1982-07-23,411,289
USW00003145,1982-07-24,422,294
USW00003145,1982-07-25,406,267
USW00003145,1982-07-26,389,267
USW00003145,1982-07-27,394,261
USW00003145,1982-07-28,417,294
USW00003145,1982-07-29,444,278
USW00003145,1982-07-30,428,311
USW00003145,1982-07-31,411,311
USW00003145,1982-08-01,428,317
USW00003145,1982-08-02,428,306
USW00003145,1982-08-03,422,272
USW00003145,1982-08-04,422,283
USW00003145,1982-08-05,428,272
USW00003145,1982-08-06,367,283
USW00003145,1982-08-07,428,250
USW00003145,1982-08-08,444,283
USW00003145,1982-08-09,433,278
USW00003145,1982-08-10,422,278
USW00003145,1982-08-11,361,294
USW00003145,1982-08-12,361,267
USW00003145,1982-08-13,389,261
USW00003145,1982-08-14,406,261
USW00003145,1982-08-15,411,261
USW00003145,1982-08-16,411,278
USW00003145,1982-08-17,361,267
USW00003145,1982-08-18,428,261
USW00003145,1982-08-19,456,283
USW00003145,1982-08-20,444,306
USW00003145,1982-08-21,417,306
USW00003145,1982-08-22,439,306
USW00003145,1982-08-23,317,278
USW00003145,1982-08-24,311,250
USW00003145,1982-08-25,333,233
USW00003145,1982-08-26,372,250
USW00003145,1982-08-27,378,267
USW00003145,1982-08-28,411,278
USW00003145,1982-08-29,411,278
USW00003145,1982-08-30,433,267
USW00003145,1982-08-31,439,272
USW00003145,1982-09-01,461,306
USW00003145,1982-09-02,461,300
USW00003145,1982-09-03,444,278
USW00003145,1982-09-04,361,278
USW00003145,1982-09-05,422,272
USW00003145,1982-09-06,428,283
USW00003145,1982-09-07,372,256
USW00003145,1982-09-08,339,233
USW00003145,1982-09-09,356,250
USW00003145,1982-09-10,361,250
USW00003145,1982-09-11,350,233
USW00003145,1982-09-12,356,200
USW00003145,1982-09-13,350,233
USW00003145,1982-09-14,333,217
USW00003145,1982-09-15,339,211
USW00003145,1982-09-16,278,189
USW00003145,1982-09-17,311,183
USW00003145,1982-09-18,356,211
USW00003145,1982-09-19,367,239
USW00003145,1982-09-20,378,222
USW00003145,1982-09-21,406,222
USW00003145,1982-09-22,433,244
USW00003145,1982-09-23,406,261
USW00003145,1982-09-24,411,261
USW00003145,1982-09-25,400,272
USW00003145,1982-09-26,361,239
USW00003145,1982-09-27,283,183
USW00003145,1982-09-28,306,139
USW00003145,1982-09-29,328,183
USW00003145,1982-09-30,289,172
USW00003145,1982-10-01,306,144
USW00003145,1982-10-02,333,178
USW00003145,1982-10-03,356,167
USW00003145,1982-10-04,339,167
USW00003145,1982-10-05,333,172
USW00003145,1982-10-06,356,200
USW00003145,1982-10-07,322,161
USW00003145,1982-10-08,283,194
USW00003145,1982-10-09,283,183
USW00003145,1982-10-10,278,178
USW00003145,1982-10-11,289,122
USW00003145,1982-10-12,306,144
USW00003145,1982-10-13,328,150
USW00003145,1982-10-14,344,156
USW00003145,1982-10-15,350,194
USW00003145,1982-10-16,350,178
USW00003145,1982-10-17,367,156
USW00003145,1982-10-18,350,172
USW00003145,1982-10-19,350,172
USW00003145,1982-10-20,317,200
USW00003145,1982-10-21,328,161
USW00003145,1982-10-22,333,172
USW00003145,1982-10-23,344,200
USW00003145,1982-10-24,356,189
USW00003145,1982-10-25,322,183
USW00003145,1982-10-26,283,200
USW00003145,1982-10-27,256,156
USW00003145,1982-10-28,244,150
USW00003145,1982-10-29,272,117
USW00003145,1982-10-30,283,117
USW00003145,1982-10-31,283,161
USW00003145,1982-11-01,278,161
USW00003145,1982-11-02,267,161
USW00003145,1982-11-03,261,111
USW00003145,1982-11-04,272,117
USW00003145,1982-11-05,294,111
USW00003145,1982-11-06,289,111
USW00003145,1982-11-07,256,106
USW00003145,1982-11-08,217,167
USW00003145,1982-11-09,233,139
USW00003145,1982-11-10,167,78
USW00003145,1982-11-11,200,56
USW00003145,1982-11-12,206,78
USW00003145,1982-11-13,217,72
USW00003145,1982-11-14,239,89
USW00003145,1982-11-15,222,117
USW00003145,1982-11-16,267,139
USW00003145,1982-11-17,178,133
USW00003145,1982-11-18,217,94
USW00003145,1982-11-19,233,128
USW00003145,1982-11-20,228,128
USW00003145,1982-11-21,222,94
USW00003145,1982-11-22,194,94
USW00003145,1982-11-23,211,117
USW00003145,1982-11-24,217,106
USW00003145,1982-11-25,233,128
USW00003145,1982-11-26,228,128
USW00003145,1982-11-27,228,111
USW00003145,1982-11-28,222,94
USW00003145,1982-11-29,222,139
USW00003145,1982-11-30,239,111
USW00003145,1982-12-01,172,78
USW00003145,1982-12-02,183,44
USW00003145,1982-12-03,194,61
USW00003145,1982-12-04,211,72
USW00003145,1982-12-05,222,78
USW00003145,1982-12-06,222,83
USW00003145,1982-12-07,222,72
USW00003145,1982-12-08,161,89
USW00003145,1982-12-09,144,128
USW00003145,1982-12-10,200,111
USW00003145,1982-12-11,194,100
USW00003145,1982-12-12,211,100
USW00003145,1982-12-13,200,89
USW00003145,1982-12-14,200,78
USW00003145,1982-12-15,189,67
USW00003145,1982-12-16,200,72
USW00003145,1982-12-17,206,72
USW00003145,1982-12-18,206,72
USW00003145,1982-12-19,211,78
USW00003145,1982-12-20,233,72
USW00003145,1982-12-21,206,67
USW00003145,1982-12-22,206,106
USW00003145,1982-12-23,183,94
USW00003145,1982-12-24,150,56
USW00003145,1982-12-25,161,83
USW00003145,1982-12-26,167,61
USW00003145,1982-12-27,200,44
USW00003145,1982-12-28,144,72
USW00003145,1982-12-29,139,61
USW00003145,1982-12-30,111,28
USW00003145,1982-12-31,150,56
USW00003145,1983-01-01,156,33
USW00003145,1983-01-02,178,33
USW00003145,1983-01-03,183,61
USW00003145,1983-01-04,194,56
USW00003145,1983-01-05,211,72
USW00003145,1983-01-06,228,78
USW00003145,1983-01-07,228,78
USW00003145,1983-01-08,250,94
USW00003145,1983-01-09,239,100
USW00003145,1983-01-10,233,100
USW00003145,1983-01-11,256,94
USW00003145,1983-01-12,261,111
USW00003145,1983-01-13,261,117
USW00003145,1983-01-14,256,106
USW00003145,1983-01-15,256,139
USW00003145,1983-01-16,261,117
USW00003145,1983-01-17,228,111
USW00003145,1983-01-18,233,72
USW00003145,1983-01-19,200,78
USW00003145,1983-01-20,172,61
USW00003145,1983-01-21,183,44
USW00003145,1983-01-22,189,39
USW00003145,1983-01-23,211,94
USW00003145,1983-01-24,239,106
USW00003145,1983-01-25,222,100
USW00003145,1983-01-26,239,100
USW00003145,1983-01-27,239,111
USW00003145,1983-01-28,206,72
USW00003145,1983-01-29,183,111
USW00003145,1983-01-30,178,89
USW00003145,1983-01-31,194,56
USW00003145,1983-02-01,206,50
USW00003145,1983-02-02,128,78
USW00003145,1983-02-03,111,67
USW00003145,1983-02-04,161,78
USW00003145,1983-02-05,189,100
USW00003145,1983-02-06,200,83
USW00003145,1983-02-07,211,111
USW00003145,1983-02-08,217,122
USW00003145,1983-02-09,217,94
USW00003145,1983-02-10,244,94
USW00003145,1983-02-11,250,94
USW00003145,1983-02-12,272,128
USW00003145,1983-02-13,250,100
USW00003145,1983-02-14,244,111
USW00003145,1983-02-15,233,111
USW00003145,1983-02-16,272,100
USW00003145,1983-02-17,283,122
USW00003145,1983-02-18,289,106
USW00003145,1983-02-19,256,106
USW00003145,1983-02-20,244,128
USW00003145,1983-02-21,267,111
USW00003145,1983-02-22,272,111
USW00003145,1983-02-23,278,106
USW00003145,1983-02-24,222,133
USW00003145,1983-02-25,211,100
USW00003145,1983-02-26,250,89
USW00003145,1983-02-27,256,133
USW00003145,1983-02-28,261,133
USW00003145,1983-03-01,239,156
USW00003145,1983-03-02,189,133
USW00003145,1983-03-03,211,133
USW00003145,1983-03-04,222,106
USW00003145,1983-03-05,239,100
USW00003145,1983-03-06,267,139
USW00003145,1983-03-07,250,133
USW00003145,1983-03-08,278,133
USW00003145,1983-03-09,306,139
USW00003145,1983-03-10,322,161
USW00003145,1983-03-11,283,156
USW00003145,1983-03-12,294,144
USW00003145,1983-03-13,300,144
USW00003145,1983-03-14,256,161
USW00003145,1983-03-15,250,133
USW00003145,1983-03-16,267,106
USW00003145,1983-03-17,228,133
USW00003145,1983-03-18,222,106
USW00003145,1983-03-19,228,106
USW00003145,1983-03-20,244,94
USW00003145,1983-03-21,217,111
USW00003145,1983-03-22,222,117
USW00003145,1983-03-23,239,122
USW00003145,1983-03-24,233,122
USW00003145,1983-03-25,222,94
USW00003145,1983-03-26,244,72
USW00003145,1983-03-27,250,111
USW00003145,1983-03-28,261,117
USW00003145,1983-03-29,294,122
USW00003145,1983-03-30,339,144
USW00003145,1983-03-31,339,156
USW00003145,1983-04-01,294,183
USW00003145,1983-04-02,317,139
USW00003145,1983-04-03,267,178
USW00003145,1983-04-04,233,128
USW00003145,1983-04-05,244,94
USW00003145,1983-04-06,233,128
USW00003145,1983-04-07,239,94
USW00003145,1983-04-08,267,89
USW00003145,1983-04-09,283,128
USW00003145,1983-04-10,283,133
USW00003145,1983-04-11,228,133
USW00003145,1983-04-12,206,100
USW00003145,1983-04-13,222,72
USW00003145,1983-04-14,267,106
USW00003145,1983-04-15,300,111
USW00003145,1983-04-16,317,150
USW00003145,1983-04-17,328,117
USW00003145,1983-04-18,283,156
USW00003145,1983-04-19,294,144
USW00003145,1983-04-20,250,156
USW00003145,1983-04-21,250,139
USW00003145,1983-04-22,289,122
USW00003145,1983-04-23,328,156
USW00003145,1983-04-24,300,156
USW00003145,1983-04-25,278,156
USW00003145,1983-04-26,278,122
USW00003145,1983-04-27,317,133
USW00003145,1983-04-28,300,178
USW00003145,1983-04-29,294,183
USW00003145,1983-04-30,261,156
USW00003145,1983-05-01,250,128
USW00003145,1983-05-02,283,122
USW00003145,1983-05-03,328,150
USW00003145,1983-05-04,339,178
USW00003145,1983-05-05,289,161
USW00003145,1983-05-06,289,133
USW00003145,1983-05-07,350,144
USW00003145,1983-05-08,356,161
USW00003145,1983-05-09,339,167
USW00003145,1983-05-10,328,178
USW00003145,1983-05-11,294,133
USW00003145,1983-05-12,322,150
USW00003145,1983-05-13,306,167
USW00003145,1983-05-14,333,161
USW00003145,1983-05-15,356,172
USW00003145,1983-05-16,350,189
USW00003145,1983-05-17,328,206
USW00003145,1983-05-18,361,161
USW00003145,1983-05-19,378,189
USW00003145,1983-05-20,367,217
USW00003145,1983-05-21,406,206
USW00003145,1983-05-22,411,217
USW00003145,1983-05-23,439,239
USW00003145,1983-05-24,444,222
USW00003145,1983-05-25,422,228
USW00003145,1983-05-26,422,244
USW00003145,1983-05-27,450,244
USW00003145,1983-05-28,489,261
USW00003145,1983-05-29,417,267
USW00003145,1983-05-30,417,233
USW00003145,1983-05-31,383,239
USW00003145,1983-06-01,344,189
USW00003145,1983-06-02,317,167
USW00003145,1983-06-03,356,161
USW00003145,1983-06-04,361,183
USW00003145,1983-06-05,383,200
USW00003145,1983-06-06,406,233
USW00003145,1983-06-07,411,256
USW00003145,1983-06-08,389,239
USW00003145,1983-06-09,356,228
USW00003145,1983-06-10,389,217
USW00003145,1983-06-11,400,228
USW00003145,1983-06-12,361,211
USW00003145,1983-06-13,411,228
USW00003145,1983-06-14,422,211
USW00003145,1983-06-15,411,244
USW00003145,1983-06-16,417,256
